ndate;c4_q;c5_q;c6_q;c7_q;c8_q;rtp;T;P;U;ff;ff10;Td;RRR;Wg;so2_n;so2_m;so2_ug
2017-11-11 00:26:00;0;0;15609.3991617839;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0107122829649597;0;0.40599998831749
2017-11-11 00:28:00;0;16940.2229817708;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0107126867088179;0;0.40599998831749
2017-11-11 00:30:00;0;502.750520833333;3433.4974609375;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0101646578094612;0;0.40599998831749
2017-11-11 00:32:00;0;0;24291.4999755859;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0090064313961193;0;0.40599998831749
2017-11-11 00:34:00;0;0;26505.380061849;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0116668436909094;0;0.40599998831749
2017-11-11 00:36:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0203011775932585;0;0.40599998831749
2017-11-11 00:38:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0154717309866101;0;0.40599998831749
2017-11-11 00:40:00;0;17257.9966552734;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0150628725066781;0;0.40599998831749
2017-11-11 00:42:00;0;12294.5280843099;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0179996371579667;0;0.40599998831749
2017-11-11 00:44:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0152357946848497;0;0.40599998831749
2017-11-11 00:46:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0149851161520928;0;0.40599998831749
2017-11-11 00:48:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0198144932898382;0;0.40599998831749
2017-11-11 00:50:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0175194751471281;0;0.40599998831749
2017-11-11 00:52:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0143356111831963;0;0.40599998831749
2017-11-11 00:54:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0134140271150197;0;0.40599998831749
2017-11-11 00:56:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0144920045044273;0;0.40599998831749
2017-11-11 00:58:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0145940801051135;0;0.40599998831749
2017-11-11 01:00:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0166424013286208;0;0.40599998831749
2017-11-11 01:02:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0107802238392954;0;0.40599998831749
2017-11-11 01:04:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0104474385268986;0;0.40599998831749
2017-11-11 01:06:00;0;0;0;0;0;2;2;740.5;88;6;8;0.2;0.5;180;0.0104838151096677;0;0.40599998831749
